drug_class,exposure_definition,variable,smd_before,smd_after_ipw
potassium_sparing,current_use,drug_beta_blocker,0.7361,0.4398
potassium_sparing,current_use,drug_thiazide,1.0489,0.3995
potassium_sparing,current_use,drug_ppi,0.3378,0.2444
potassium_sparing,current_use,drug_ccb,0.4093,0.3392
potassium_sparing,current_use,drug_metformin,0.1755,0.2261
potassium_sparing,current_use,drug_arb,0.2626,0.3229
potassium_sparing,current_use,drug_ssri,0.1508,0.1556
potassium_sparing,current_use,drug_opioid,0.1824,0.1636
potassium_sparing,current_use,drug_nsaid,0.1238,0.0918
potassium_sparing,current_use,drug_antiepileptic,0.1988,0.1368
potassium_sparing,current_use,drug_loop_diuretic,0.5268,0.3709
potassium_sparing,current_use,drug_alpha_blocker,0.1203,0.1684
potassium_sparing,current_use,drug_gout_drug,0.2873,0.0879
potassium_sparing,current_use,drug_benzodiazepine,0.1275,0.1405
potassium_sparing,current_use,drug_sulfonylurea,0.216,0.2348
potassium_sparing,current_use,drug_thyroid,0.2665,0.2148
potassium_sparing,current_use,drug_bisphosphonate,0.1065,0.0827
potassium_sparing,current_use,drug_count_x_age,1.1779,0.8524
potassium_sparing,current_use,drug_count_x_bmi,1.0213,0.8358
potassium_sparing,current_use,drug_count_x_egfr,0.83,0.8069
potassium_sparing,current_use,drug_count_x_bmi_missing,0.061,0.0506
potassium_sparing,current_use,drug_count_x_egfr_missing,0.0844,0.0696
opioid,current_use,RIDAGEYR,0.3291,0.1769
opioid,current_use,sex_binary,0.0849,0.0159
opioid,current_use,RIDRETH1,0.0022,0.0177
opioid,current_use,BMXBMI,0.2616,0.0961
opioid,current_use,BMXWAIST,0.296,0.1364
opioid,current_use,INDFMPIR,0.3068,0.009
opioid,current_use,LBXSCA,0.0168,0.0002
opioid,current_use,LBXSUA,0.0365,0.031
opioid,current_use,LBXSPH,0.1171,0.0013
opioid,current_use,LBXSC3SI,0.0426,0.0033
opioid,current_use,LBXSBU,0.0757,0.1074
opioid,current_use,LBXSCR,0.0774,0.0653
opioid,current_use,egfr,0.2553,0.1616
opioid,current_use,acr,0.0305,0.0104
opioid,current_use,systolic_bp,0.0433,0.0482
opioid,current_use,diastolic_bp,0.0457,0.0469
opioid,current_use,smoking_status,0.4172,0.0672
opioid,current_use,diabetes_status,0.2313,0.1092
opioid,current_use,physically_active,0.264,0.0437
opioid,current_use,MCQ160B,0.2563,0.0779
opioid,current_use,MCQ160C,0.1664,0.0851
opioid,current_use,BPQ020,0.4327,0.1375
opioid,current_use,BPQ080,0.2796,0.133
opioid,current_use,drug_count,1.205,0.3527
opioid,current_use,drug_statin,0.2699,0.1577
opioid,current_use,drug_ace_inhibitor,0.2197,0.1065
opioid,current_use,drug_beta_blocker,0.2669,0.1479
opioid,current_use,drug_thiazide,0.1544,0.0847
opioid,current_use,drug_ppi,0.4307,0.1311
opioid,current_use,drug_ccb,0.1901,0.0984
opioid,current_use,drug_metformin,0.1499,0.0782
opioid,current_use,drug_arb,0.1385,0.1021
opioid,current_use,drug_ssri,0.3586,0.0811
opioid,current_use,drug_nsaid,0.4659,0.0821
opioid,current_use,drug_antiepileptic,0.5159,0.0881
opioid,current_use,drug_loop_diuretic,0.2875,0.1162
opioid,current_use,drug_alpha_blocker,0.1898,0.0588
